1,Johan Pahlawan,1
2,Samatiga,1
3,Bubon,1
4,Arongan Lambalek,1
5,Woyla,1
6,Woyla Barat,1
7,Woyla Timur,1
8,Kaway XVI,1
9,Meureubo,1
10,Pantai Ceureumen,1
11,Sungai Mas,1
12,Manggeng,2
13,Tangan-Tangan,2
14,Blang Pidie,2
15,Susoh,2
16,Kuala Batee,2
17,Babah Rot,2
18,Lhoong,3
19,Lho'nga,3
20,Leupung,3
21,Indrapuri,3
22,Kuta Cot Glie,3
23,Seulimeum,3
24,Kota Jantho,3
25,Lembah Seulawah,3
26,Mesjid Raya,3
27,Darussalam,3
28,Baitussalam,3
29,Kuta Baro,3
30,Montasik,3
31,Ingin Jaya,3
32,Krueng Barona Jaya,3
33,Suka Makmur,3
34,Kuta Malaka,3
35,Simpang Tiga,3
36,Darul Imarah,3
37,Darul Kamal,3
38,Peukan Bada,3
39,Pulo Aceh,3
40,Teunom,4
41,Panga,4
42,Krueng Sabee,4
43,Setia Bakti,4
44,Sampoiniet,4
45,Jaya,4
46,Trumon,5
47,Trumon Tengah,5
48,Trumon Timur,5
49,Bakongan,5
50,Bakongan Timur,5
51,Kluet Selatan,5
52,Kluet Timur,5
53,Kluet Utara,5
54,Pasie Raja,5
55,Kluet Tengah,5
56,Tapak Tuan,5
57,Sama Dua,5
58,Sawang,5
59,Meukek,5
60,Labuhan Haji,5
61,Labuhan Haji Timur,5
62,Labuhan Haji Barat,5
63,Pulau Banyak,6
64,Singkil,6
65,Singkil Utara,6
66,Kuala Baru,6
67,Simpang Kanan,6
68,Gunung Meriah,6
69,Danau Paris,6
70,Suro Makmur,6
71,Singkohor,6
72,Kota Baharu,6
73,Tamiang Hulu,7
74,Kejuruan Muda,7
75,Rantau,7
76,Kota Kuala Simpang,7
77,Seruway,7
78,Bendahara,7
79,Karang Baru,7
80,Manyak Payed,7
81,Linge,8
82,Bintang,8
83,Lut Tawar,8
84,Kebayakan,8
85,Pegasing,8
86,Bebesen,8
87,Kute Panang,8
88,Silih Nara,8
89,Ketol,8
90,Celala,8
